candidate,text,tweet_id
Biden,"Hello, Greensburg! https://t.co/m7L9zdM8uF",1311415774687395840
Trump,"In just 3 and a half years, we have secured America’s Borders, rebuilt the awesome power of the U.S. Military, obli… https://t.co/JOGCmoAwaU",1311498845860196355
Trump,"As VP, Biden wiped out the Iron Range – seven plants were idled and more than 2K workers were laid off. After I put… https://t.co/gPV9gQ4Yv6",1311497943363379200
Trump,"Last night I did what the corrupt media has refused to do: I held Joe Biden Accountable for his 47 years of lies, 4… https://t.co/1D3jCPofbw",1311492120826449920
Trump,I want to defend &amp; preserve our nation’s historic values. Our opponents stand with rioters – I stand with the heroe… https://t.co/IkNPWTWdSd,1311493853615071232
Trump,https://t.co/HUSFkHqsyC,1311153253472636928
Trump,Thank you Ari! https://t.co/ghPg3w2jmc,1311385979278647296
Biden,"Last night, I went toe-to-toe with Donald Trump and laid out my vision for a stronger, more inclusive America. Chec… https://t.co/5MfWa5aRL5",1311481457307574274
Trump,"Thank you @HerschelWalker! 
https://t.co/XjlYe8x1Ay",1311512518800470016
Trump,Comey is a disaster who cheated and lied. How do you write books when you can’t remember anything? Should be tried… https://t.co/kWFKrV0e5M,1311493282120167424
Trump,Just departed the White House for Minnesota! #MAGA https://t.co/nAdxls0z8C,1311391100171476992
Biden,Donald Trump showed the country last night just how unfit he is to be president. If you weren't able to bear watchi… https://t.co/FSsjipEQbQ,1311374502505279489
Trump,"Biden wants to Pack the Supreme Court, thereby ruining it. Also, he wants no fracking, killing our Energy business,… https://t.co/RnRD1c8Z3j",1311308087593242624
Trump,Thank you Chuck and Harry!,1311376330299248648
Trump,Try getting a new Anchor and a smarter Democrat candidate! https://t.co/B9heSVV1OJ,1311385306571042816
Trump,https://t.co/ZrGsTKv78v,1311383758424035328
Biden,It's safe to say I've gotten to know the hardworking men and women of @Amtrak over the years — I'm proud to stand w… https://t.co/lBCRMYWuJ3,1311485988447936512
Trump,Sleepy Joe’s USA! https://t.co/qL0vHoGk0z,1311454879815282689
Biden,Had enough? https://t.co/4W5OSoRzXI,1311278369296719872
Trump,"So when will something significant happen to James Comey? Got caught cold. He is either very dumb, or one of the wo… https://t.co/i6BnuG1k4L",1311457668826095616
Biden,"Show us your tax returns, @realDonaldTrump.",1311121082825560065
Trump,Many more people would have died from the China Virus if Sleepy Joe were your President. He didn’t even want me to… https://t.co/zBRjg3siKT,1311365647008444416
Trump,I did more in 47 months as President than Joe Biden did in 47 years! https://t.co/Qa7U3pKxtE,1311118419173888000
Biden,I’m Joe Biden and I approve this message. https://t.co/TuRZXPE5xK,1307491919384260609
Biden,Listening to folks and discussing how we can make their lives better. It’s what our Build Back Better Express Tour… https://t.co/2OPnM0YPLl,1311395138506240001
Trump,HIGHEST CABLE TELEVISION RATINGS OF ALL TIME. SECOND HIGHEST OVERALL TELEVISION RATINGS OF ALL TIME. Some day these… https://t.co/pRXt9G5cRH,1311414741907116032
Biden,Beau Biden was not a loser. https://t.co/hwzlZrjh75,1311128884121755648
Trump,Should be arrested on the spot!,1311377298822705153
Trump,https://t.co/w6Vlywaesb,1311121277315198976
Trump,Such a timid group of reporters at the Biden Press Conference. Where do these people come from?,1311371174245535751
Trump,LIAR!!!,1311376983532679170
Trump,https://t.co/kWxETQoUUN,1311120728712835073
Trump,The American people want LAW &amp; ORDER — Joe Biden won’t even say those words!,1311123786163339265
Biden,There’s no other way to put it: the President of the United States refused to disavow white supremacists on the deb… https://t.co/lhR9D7v7Qv,1311268302950260737
Biden,Chip in to help us take this train all the way to 1600 Pennsylvania Ave: https://t.co/i5hXFouYHi https://t.co/jzlKzUO0MJ,1311452264926601217
Trump,https://t.co/eullWrX8Am,1311356712247590916
Trump,"So weird to watch @FoxNews interviewing only failed Dems, like Represenative Tim Ryan of Ohio, who got zero percent… https://t.co/I0nYbMwaah",1311402331934605312
Biden,"Enough with the racist dog whistles, Donald. You wouldn’t know a suburb unless you took a wrong turn. https://t.co/jodPtc0YDE",1311361668111306752
Trump,No wonder I didn’t lose my hair! https://t.co/jBFE2OEhS2,1311385645407854592
Trump,"Chris had a tough night. Two on one was not surprising, but  fun. Many important points made, like throwing Bernie,… https://t.co/YQ8VpAsIcs",1311294017469063171
Biden,"I'm giving everything I've got in these final 34 days to make sure we beat Donald Trump, but I can't do it without… https://t.co/hGwW0satJ8",1311445675197050881
Trump,When Joe Biden was VP...https://t.co/Ps7Qd08y6t,1311112338297114624
Trump,"I would like to extend best wishes and a very happy 70th birthday to the Prime Minister of India, @narendramodi. Ma… https://t.co/NDlvBb87EI",1306693977723342848
Trump,"If Biden Wins, CHINA WINS. If Biden Wins, the mob WINS. If Biden Wins, the rioters, anarchists, arsonists, and flag… https://t.co/irRdJa0bqi",1306796222137548807
Trump,"On National POW/MIA Recognition Day, The @FLOTUS and I honor the men &amp; women of our Armed Forces who have selflessl… https://t.co/NjCiz9fO6n",1307012715324551172
Trump,https://t.co/UwyDwoDQgp,1311121730966970368
